epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.122,1.90854,1.04171,1.18838,0.88457,0.84084,0.89083,0.47422,1.46374,0.76709,1.0112,0.000659498,0.000659498,0.000659498
2,345.185,1.48325,0.71314,0.98724,0.89156,0.87619,0.90918,0.54069,1.28187,0.69788,0.97386,0.00129991,0.00129991,0.00129991
3,608.94,1.45903,0.69587,0.98208,0.91979,0.87885,0.9175,0.54872,1.2554,0.65471,0.95873,0.00191392,0.00191392,0.00191392
4,737.532,1.41212,0.66489,0.96309,0.87647,0.86477,0.89061,0.48504,1.42482,0.74912,1.00168,0.0018812,0.0018812,0.0018812
5,883.869,1.35136,0.64463,0.95145,0.92337,0.90277,0.92926,0.56395,1.22964,0.64314,0.94131,0.0018416,0.0018416,0.0018416
6,1172.49,1.31712,0.62323,0.9421,0.93178,0.89222,0.92441,0.58156,1.18856,0.59082,0.93512,0.001802,0.001802,0.001802
7,1350.82,1.31942,0.62247,0.94208,0.9247,0.90182,0.93259,0.56355,1.24054,0.6149,0.93938,0.0017624,0.0017624,0.0017624
8,1403.27,1.28197,0.60036,0.93236,0.93404,0.90904,0.9367,0.60561,1.12669,0.58048,0.92189,0.0017228,0.0017228,0.0017228
9,1555.53,1.28618,0.60011,0.93237,0.91974,0.9004,0.93014,0.54509,1.24048,0.60579,0.93758,0.0016832,0.0016832,0.0016832
10,1729.75,1.26787,0.58788,0.92587,0.92449,0.90011,0.93268,0.54204,1.29163,0.60751,0.9551,0.0016436,0.0016436,0.0016436
11,1950.81,1.25782,0.58674,0.92348,0.93589,0.91288,0.9466,0.61467,1.10239,0.55872,0.91538,0.001604,0.001604,0.001604
12,2130.98,1.26663,0.58599,0.92414,0.94387,0.91625,0.94767,0.62725,1.05858,0.53395,0.9039,0.0015644,0.0015644,0.0015644
13,2361.83,1.21554,0.56413,0.91501,0.92849,0.91091,0.93757,0.57552,1.2065,0.5763,0.92625,0.0015248,0.0015248,0.0015248
14,2616.55,1.21379,0.56445,0.91636,0.94505,0.92439,0.94979,0.63609,1.0553,0.53041,0.90151,0.0014852,0.0014852,0.0014852
