epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7845,1.49527,0.7068,0.94159,0.81575,0.67687,0.79386,0.45904,1.40184,0.81826,1.03432,6e-05,6e-05,6e-05
2,9.75705,1.35381,0.83895,1.02119,0.80953,0.72969,0.82657,0.48723,1.36338,0.77737,1.02737,0.000137228,0.000137228,0.000137228
3,12.044,1.25742,0.64267,0.92314,0.85757,0.74311,0.84323,0.48548,1.36169,0.76506,1.02337,0.000211288,0.000211288,0.000211288
4,18.8779,1.25357,0.6286,0.90589,0.82765,0.74311,0.83499,0.47806,1.37901,0.77376,1.0255,0.00028218,0.00028218,0.00028218
5,20.8567,1.19511,0.62745,0.91648,0.84237,0.75063,0.8346,0.47966,1.38248,0.77305,1.02656,0.000349904,0.000349904,0.000349904
6,22.9943,1.25642,0.63384,0.91388,0.87021,0.73938,0.84291,0.48166,1.38965,0.76754,1.02643,0.00041446,0.00041446,0.00041446
7,24.9959,1.24123,0.60816,0.89618,0.86543,0.7218,0.84278,0.48663,1.3877,0.75641,1.02366,0.000475848,0.000475848,0.000475848
8,31.7942,1.1748,0.57743,0.88558,0.85473,0.72431,0.82861,0.47134,1.40204,0.75841,1.03194,0.000534068,0.000534068,0.000534068
9,36.2489,1.18686,0.58856,0.9033,0.86611,0.71336,0.81694,0.46335,1.42146,0.78115,1.03852,0.00058912,0.00058912,0.00058912
10,38.3365,1.25461,0.68545,0.95895,0.83398,0.70927,0.79781,0.45341,1.43607,0.8072,1.04406,0.000641004,0.000641004,0.000641004
11,40.5487,1.26165,0.68569,0.94722,0.80728,0.74012,0.81998,0.46369,1.39976,0.80693,1.03048,0.00068972,0.00068972,0.00068972
12,45.3124,1.22814,0.60296,0.92192,0.81882,0.75313,0.83467,0.47865,1.3576,0.76683,1.00752,0.000735268,0.000735268,0.000735268
13,47.283,1.26152,0.6179,0.91635,0.82004,0.71429,0.8078,0.46859,1.37743,0.78507,1.00034,0.000777648,0.000777648,0.000777648
14,49.0943,1.16319,0.603,0.90542,0.79285,0.69298,0.77752,0.44917,1.40005,0.82388,1.00902,0.00081686,0.00081686,0.00081686
15,50.965,1.3171,0.69025,0.93029,0.74674,0.65038,0.73243,0.41143,1.48875,0.92104,1.04162,0.000852904,0.000852904,0.000852904
16,52.8111,1.17839,0.5963,0.90196,0.77805,0.69424,0.78751,0.44948,1.43257,0.84903,1.02228,0.00088578,0.00088578,0.00088578
17,54.6734,1.21692,0.60507,0.90219,0.80493,0.70842,0.80397,0.47651,1.37686,0.7925,1.00965,0.000915488,0.000915488,0.000915488
18,56.5687,1.1893,0.59958,0.90753,0.81019,0.71053,0.7914,0.46702,1.39012,0.80857,1.02344,0.000942028,0.000942028,0.000942028
19,58.5103,1.17256,0.59263,0.91663,0.77219,0.7193,0.78962,0.46189,1.39235,0.83551,1.02941,0.0009654,0.0009654,0.0009654
20,61.3287,1.14892,0.59158,0.91969,0.70958,0.74687,0.76756,0.45039,1.42538,0.83831,1.03676,0.000985604,0.000985604,0.000985604
21,66.1627,1.2249,0.60323,0.90497,0.68306,0.73731,0.73717,0.42632,1.45619,0.84936,1.04747,0.00100264,0.00100264,0.00100264
