epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.751,1.91234,1.04376,1.19202,0.90296,0.86248,0.89763,0.48644,1.44606,0.7484,1.01105,0.000659498,0.000659498,0.000659498
2,517.762,1.47592,0.71018,0.98904,0.89353,0.88627,0.91177,0.51849,1.3717,0.72209,0.99852,0.00129991,0.00129991,0.00129991
3,1362.06,1.46476,0.69458,0.97867,0.92233,0.89051,0.9174,0.52951,1.35149,0.67996,0.98418,0.00191392,0.00191392,0.00191392
4,2358.42,1.40334,0.66533,0.96419,0.92144,0.89908,0.92881,0.56391,1.23334,0.64454,0.95573,0.0018812,0.0018812,0.0018812
5,2690.43,1.36759,0.65472,0.95695,0.91947,0.89173,0.92092,0.55249,1.23211,0.61782,0.95078,0.0018416,0.0018416,0.0018416
6,2941.4,1.33344,0.63157,0.94619,0.92606,0.90772,0.93654,0.58258,1.19099,0.59978,0.93477,0.001802,0.001802,0.001802
7,3156.8,1.30889,0.61689,0.93812,0.92569,0.9052,0.93478,0.54855,1.25611,0.65156,0.94257,0.0017624,0.0017624,0.0017624
8,3256.24,1.29406,0.60853,0.93665,0.93597,0.9052,0.9349,0.60114,1.13043,0.57344,0.92288,0.0017228,0.0017228,0.0017228
9,3484.77,1.28608,0.60155,0.93282,0.91468,0.9049,0.93283,0.58078,1.2041,0.62173,0.93786,0.0016832,0.0016832,0.0016832
10,3547.37,1.24902,0.58609,0.92348,0.93501,0.91764,0.94807,0.595,1.1737,0.5712,0.92131,0.0016436,0.0016436,0.0016436
11,3660.12,1.24557,0.58066,0.9244,0.93189,0.91833,0.9467,0.61891,1.10439,0.55596,0.92087,0.001604,0.001604,0.001604
12,3869.46,1.23083,0.56658,0.91669,0.94497,0.92378,0.9518,0.62881,1.08294,0.53908,0.90172,0.0015644,0.0015644,0.0015644
13,4031.51,1.21191,0.56662,0.91541,0.94142,0.9252,0.9502,0.62316,1.09862,0.54144,0.91886,0.0015248,0.0015248,0.0015248
14,4121.9,1.21794,0.56728,0.91746,0.9453,0.92827,0.95178,0.61376,1.1106,0.53671,0.90578,0.0014852,0.0014852,0.0014852
15,4277.6,1.21316,0.55942,0.91478,0.94721,0.92027,0.95132,0.63657,1.05373,0.52094,0.9008,0.0014456,0.0014456,0.0014456
16,4540.88,1.19324,0.55006,0.91034,0.94849,0.93117,0.95311,0.64201,1.05613,0.51005,0.89815,0.001406,0.001406,0.001406
17,4666.82,1.16696,0.54208,0.90504,0.94501,0.93031,0.95329,0.64135,1.04833,0.51213,0.89839,0.0013664,0.0013664,0.0013664
18,4923.97,1.17981,0.5446,0.90881,0.95008,0.92197,0.95193,0.63898,1.0649,0.51451,0.90174,0.0013268,0.0013268,0.0013268
19,5351.98,1.1782,0.54723,0.91076,0.94553,0.92833,0.95253,0.60861,1.145,0.53896,0.90632,0.0012872,0.0012872,0.0012872
20,5707.04,1.17708,0.54143,0.90134,0.95067,0.928,0.95341,0.64742,1.04117,0.50063,0.89671,0.0012476,0.0012476,0.0012476
21,5984.03,1.15318,0.5286,0.89894,0.94616,0.92969,0.95318,0.63976,1.05244,0.50309,0.89699,0.001208,0.001208,0.001208
22,6155.1,1.1627,0.5352,0.90085,0.94372,0.92585,0.95081,0.60425,1.13739,0.5275,0.9058,0.0011684,0.0011684,0.0011684
23,6414.59,1.16076,0.53375,0.90226,0.95104,0.93066,0.95541,0.65444,1.01972,0.49464,0.88979,0.0011288,0.0011288,0.0011288
24,6690.4,1.14345,0.52308,0.89572,0.95206,0.93048,0.95496,0.65392,1.02573,0.4914,0.89038,0.0010892,0.0010892,0.0010892
25,6923.28,1.13881,0.52112,0.89452,0.95006,0.93137,0.95375,0.64766,1.03196,0.49159,0.89103,0.0010496,0.0010496,0.0010496
26,7204.93,1.13614,0.52239,0.8946,0.94789,0.93142,0.95385,0.63822,1.05891,0.50222,0.89513,0.00101,0.00101,0.00101
27,7395.53,1.13171,0.51988,0.8939,0.93918,0.92717,0.95104,0.62176,1.08649,0.51889,0.9069,0.0009704,0.0009704,0.0009704
28,7752.18,1.11565,0.51362,0.89209,0.9503,0.9338,0.95495,0.64947,1.02451,0.48686,0.8894,0.0009308,0.0009308,0.0009308
29,7812.77,1.11985,0.51238,0.89362,0.95299,0.93695,0.96317,0.66713,0.98743,0.47906,0.88415,0.0008912,0.0008912,0.0008912
30,8259.19,1.11428,0.50939,0.88964,0.94934,0.93361,0.95427,0.64548,1.02722,0.48774,0.89,0.0008516,0.0008516,0.0008516
31,8580.26,1.11223,0.50881,0.88958,0.95286,0.93541,0.96154,0.65429,1.01473,0.47884,0.88939,0.000812,0.000812,0.000812
32,8822.67,1.11647,0.50703,0.88835,0.95133,0.92904,0.95489,0.65827,1.00857,0.47909,0.8871,0.0007724,0.0007724,0.0007724
33,8995.82,1.10097,0.50104,0.88625,0.95287,0.93805,0.96383,0.66484,0.98932,0.47511,0.88158,0.0007328,0.0007328,0.0007328
34,9167.74,1.09817,0.50098,0.88749,0.95511,0.93843,0.96449,0.65842,1.01769,0.47637,0.88477,0.0006932,0.0006932,0.0006932
35,9418.3,1.09836,0.49911,0.88684,0.95514,0.93844,0.96423,0.67231,0.98299,0.46755,0.87885,0.0006536,0.0006536,0.0006536
36,9804.39,1.08079,0.49364,0.88317,0.95673,0.93818,0.96385,0.67096,0.97736,0.46397,0.87923,0.000614,0.000614,0.000614
37,9948.53,1.0823,0.49124,0.88431,0.95585,0.9387,0.96417,0.67415,0.97213,0.45898,0.87865,0.0005744,0.0005744,0.0005744
38,10181.3,1.07767,0.48897,0.88335,0.95378,0.93971,0.96491,0.67812,0.95644,0.4635,0.87428,0.0005348,0.0005348,0.0005348
39,10621.7,1.0903,0.49129,0.88289,0.95366,0.93946,0.96227,0.65837,1.00878,0.4663,0.8827,0.0004952,0.0004952,0.0004952
40,10974,1.06727,0.48454,0.88149,0.95277,0.94107,0.96475,0.66292,1.00148,0.45879,0.88276,0.0004556,0.0004556,0.0004556
41,11031,1.03284,0.48171,0.88638,0.95345,0.93936,0.96386,0.6756,0.96634,0.4615,0.87718,0.000416,0.000416,0.000416
42,11061.7,1.01368,0.47255,0.88366,0.95731,0.94186,0.96502,0.67661,0.96965,0.45188,0.876,0.0003764,0.0003764,0.0003764
43,11093.1,1.01206,0.47111,0.88454,0.95627,0.93784,0.96429,0.67529,0.9649,0.45494,0.87568,0.0003368,0.0003368,0.0003368
44,11131.5,1.0045,0.46553,0.88195,0.95755,0.9393,0.96487,0.68334,0.94937,0.44752,0.87192,0.0002972,0.0002972,0.0002972
45,11198.4,0.99985,0.46502,0.882,0.95063,0.9398,0.9638,0.66726,0.98513,0.46234,0.87947,0.0002576,0.0002576,0.0002576
46,11247.7,0.99719,0.46213,0.87931,0.95687,0.94183,0.96526,0.6838,0.94594,0.44905,0.87304,0.000218,0.000218,0.000218
47,11280,0.98974,0.45898,0.87834,0.95872,0.94277,0.96572,0.67919,0.95623,0.4427,0.87438,0.0001784,0.0001784,0.0001784
48,11320.5,0.98836,0.45508,0.8778,0.95701,0.94446,0.96604,0.68061,0.95335,0.44319,0.87286,0.0001388,0.0001388,0.0001388
49,11378.3,0.97423,0.45163,0.87467,0.95891,0.94395,0.9663,0.68559,0.94004,0.43719,0.86918,9.92e-05,9.92e-05,9.92e-05
50,11433.7,0.97677,0.44948,0.87442,0.95966,0.94338,0.96641,0.68422,0.94586,0.43821,0.87098,5.96e-05,5.96e-05,5.96e-05
