epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9518,1.27731,0.38356,0.43901,0.79181,0.60784,0.66829,0.36037,0.8092,0.44306,0.20651,0.00024,0.00024,0.00024
2,17.5489,1.12309,0.38325,0.3631,0.76968,0.67825,0.68437,0.39749,0.7802,0.4,0.21963,0.00049505,0.00049505,0.00049505
3,24.5284,1.35285,0.3139,0.5837,0.75167,0.57194,0.57026,0.33708,1.04759,0.36168,0.34025,0.000744952,0.000744952,0.000744952
4,31.7194,2.05234,0.20366,1.17835,0.67662,0.38414,0.37856,0.21576,1.38716,0.27694,0.46968,0.000989706,0.000989706,0.000989706
5,38.5184,2.44183,0.16723,1.51097,0.60889,0.38503,0.35655,0.19446,1.45221,0.28138,0.46298,0.00122931,0.00122931,0.00122931
6,45.2297,2.26968,0.18057,1.1842,0.56646,0.4385,0.36858,0.1992,1.43787,0.29762,0.45185,0.00146377,0.00146377,0.00146377
7,52.7703,2.15294,0.20337,1.16933,0.63743,0.48217,0.43893,0.23964,1.33087,0.30552,0.34923,0.00169308,0.00169308,0.00169308
8,59.9969,2.08534,0.21458,1.14461,0.6108,0.47417,0.42358,0.2327,1.40718,0.30234,0.44468,0.0018614,0.0018614,0.0018614
9,67.1426,1.95494,0.22768,1.02796,0.6108,0.47417,0.42358,0.2327,1.40718,0.30234,0.44468,0.0018416,0.0018416,0.0018416
10,73.0898,2.04097,0.21588,1.19294,0.5999,0.48396,0.43651,0.2361,1.35649,0.31655,0.40861,0.0018218,0.0018218,0.0018218
11,80.0762,1.7169,0.25172,0.69847,0.68953,0.44538,0.43558,0.23676,1.39451,0.31115,0.43788,0.001802,0.001802,0.001802
12,85.9951,1.66736,0.27714,0.74558,0.67248,0.45544,0.45355,0.26311,1.30694,0.34572,0.4251,0.0017822,0.0017822,0.0017822
13,91.2938,1.38933,0.32273,0.44799,0.62613,0.51872,0.46936,0.28245,1.25633,0.34076,0.39399,0.0017624,0.0017624,0.0017624
14,96.8876,1.39423,0.32685,0.51761,0.59665,0.53264,0.4629,0.27534,1.20438,0.35457,0.37411,0.0017426,0.0017426,0.0017426
15,103.035,1.55062,0.27399,0.54428,0.59665,0.53264,0.4629,0.27534,1.20438,0.35457,0.37411,0.0017228,0.0017228,0.0017228
16,108.864,1.4613,0.29158,0.47902,0.60158,0.55169,0.46523,0.2711,1.20237,0.35075,0.37538,0.001703,0.001703,0.001703
17,114.686,1.46744,0.29465,0.50722,0.65645,0.51602,0.48934,0.29013,1.18475,0.33822,0.35568,0.0016832,0.0016832,0.0016832
18,120.692,1.48253,0.27633,0.51449,0.63582,0.52763,0.48395,0.29593,1.18776,0.33475,0.36032,0.0016634,0.0016634,0.0016634
19,126.689,1.46786,0.28504,0.51084,0.65885,0.55425,0.51044,0.31764,1.16955,0.32774,0.34759,0.0016436,0.0016436,0.0016436
20,132.515,1.38239,0.2892,0.43844,0.65885,0.55425,0.51044,0.31764,1.16955,0.32774,0.34759,0.0016238,0.0016238,0.0016238
21,138.412,1.39063,0.29639,0.45285,0.66083,0.56952,0.50631,0.31247,1.12464,0.33919,0.31686,0.001604,0.001604,0.001604
22,143.795,1.10457,0.35698,0.28152,0.66974,0.57295,0.53244,0.31671,1.08059,0.35599,0.28779,0.0015842,0.0015842,0.0015842
