epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2776,1.18503,0.42631,0.3981,0.27821,0.34294,0.21165,0.097,1.22517,0.40826,0.39417,0.00024,0.00024,0.00024
2,15.7188,1.09802,0.3545,0.34588,0.4833,0.30326,0.29766,0.15088,1.19228,0.39183,0.41913,0.00049505,0.00049505,0.00049505
3,21.6609,1.20461,0.33114,0.44701,0.45418,0.32957,0.30625,0.15261,1.22476,0.41502,0.37332,0.000744952,0.000744952,0.000744952
4,37.8158,1.64384,0.26619,0.78026,0.39265,0.41604,0.32467,0.16698,1.17166,0.41214,0.35187,0.000989706,0.000989706,0.000989706
5,44.2986,1.65067,0.26673,0.86644,0.42195,0.43609,0.36962,0.19897,1.09127,0.41321,0.34661,0.00122931,0.00122931,0.00122931
6,50.8249,1.45934,0.28731,0.7014,0.44564,0.40476,0.37535,0.20066,1.03972,0.48716,0.31784,0.00146377,0.00146377,0.00146377
7,57.2403,1.18171,0.33623,0.50025,0.39509,0.50501,0.389,0.2038,1.03206,0.4468,0.30755,0.00169308,0.00169308,0.00169308
8,63.3221,1.16498,0.32505,0.47509,0.44171,0.49749,0.37867,0.19957,0.987,0.41194,0.28726,0.0018614,0.0018614,0.0018614
9,68.7692,1.15973,0.33532,0.41161,0.44171,0.49749,0.37867,0.19957,0.987,0.41194,0.28726,0.0018416,0.0018416,0.0018416
10,74.7537,1.26564,0.30897,0.50027,0.43758,0.47774,0.37374,0.19834,0.97582,0.41731,0.27928,0.0018218,0.0018218,0.0018218
11,80.8121,1.10338,0.3305,0.37415,0.43731,0.47243,0.37383,0.19828,0.97183,0.41674,0.28283,0.001802,0.001802,0.001802
12,86.5317,1.08913,0.33255,0.38015,0.42837,0.49123,0.40518,0.21551,0.9601,0.42608,0.2755,0.0017822,0.0017822,0.0017822
