epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5478,1.3783,0.87502,0.98191,0.86705,0.72888,0.82686,0.4886,1.32992,0.68593,0.93785,6e-05,6e-05,6e-05
2,13.0199,1.48935,1.08146,1.12059,0.87129,0.7381,0.84248,0.4978,1.32405,0.67369,0.93694,0.000137228,0.000137228,0.000137228
3,15.1017,1.34812,0.67131,0.90626,0.85432,0.7432,0.83418,0.47431,1.36826,0.69069,0.94443,0.000211288,0.000211288,0.000211288
4,17.0625,1.38392,0.92502,1.03564,0.81215,0.76707,0.82803,0.47288,1.33534,0.68538,0.94378,0.00028218,0.00028218,0.00028218
5,18.9038,1.2023,0.63895,0.93526,0.81303,0.79186,0.84054,0.48355,1.32515,0.67552,0.94031,0.000349904,0.000349904,0.000349904
6,20.7815,1.21552,0.64454,0.93438,0.80664,0.79877,0.83971,0.48175,1.35314,0.6824,0.94371,0.00041446,0.00041446,0.00041446
7,22.6603,1.36947,0.72869,0.96353,0.79162,0.7878,0.82606,0.46264,1.42185,0.72139,0.95682,0.000475848,0.000475848,0.000475848
8,24.4717,1.14434,0.58077,0.90694,0.80632,0.7957,0.83154,0.46948,1.40967,0.71017,0.95481,0.000534068,0.000534068,0.000534068
9,27.4997,1.30609,0.68681,0.97558,0.82111,0.79263,0.83019,0.46658,1.4081,0.70559,0.96479,0.00058912,0.00058912,0.00058912
10,29.3344,1.18367,0.60973,0.90677,0.83586,0.79032,0.84923,0.49198,1.34172,0.68554,0.94418,0.000641004,0.000641004,0.000641004
11,31.2898,1.23704,0.63545,0.92122,0.85414,0.79109,0.86031,0.49893,1.33499,0.67202,0.93699,0.00068972,0.00068972,0.00068972
12,33.3249,1.29539,0.6413,0.91478,0.87312,0.78955,0.8587,0.50007,1.32953,0.66515,0.93614,0.000735268,0.000735268,0.000735268
13,35.3298,1.18831,0.62131,0.93533,0.8538,0.79839,0.83964,0.48808,1.32565,0.66031,0.94271,0.000777648,0.000777648,0.000777648
