epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.456,2.24456,2.19944,1.22644,0.83346,0.78734,0.82061,0.386,1.69273,1.33739,1.03594,0.000659498,0.000659498,0.000659498
2,1251.03,1.76737,0.93218,1.02502,0.82095,0.82952,0.8479,0.42366,1.55075,1.07692,1.02489,0.00129991,0.00129991,0.00129991
3,1792.13,1.65888,0.83598,1.00569,0.87066,0.85882,0.87921,0.4644,1.46761,0.80396,0.99728,0.00191392,0.00191392,0.00191392
4,2273.41,1.58907,0.79409,0.99241,0.89362,0.85829,0.8971,0.48037,1.4369,0.77261,0.99896,0.0018812,0.0018812,0.0018812
5,2827.14,1.54151,0.77178,0.98822,0.89884,0.87053,0.91047,0.50655,1.39431,0.72643,0.979,0.0018416,0.0018416,0.0018416
6,3276.78,1.50807,0.75307,0.9784,0.90988,0.88202,0.91523,0.51562,1.3654,0.70519,0.97053,0.001802,0.001802,0.001802
