epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.734,1.90773,1.02981,1.189,0.87791,0.86153,0.87646,0.4596,1.4047,0.75843,0.98495,0.000659498,0.000659498,0.000659498
2,398.067,1.47955,0.71345,0.99039,0.89469,0.8885,0.91192,0.52968,1.31475,0.7776,0.98119,0.00129991,0.00129991,0.00129991
3,929.342,1.43255,0.6868,0.97414,0.92057,0.8671,0.90769,0.52418,1.33298,0.66953,0.97098,0.00191392,0.00191392,0.00191392
4,1039.48,1.39502,0.65617,0.95972,0.92562,0.89439,0.92448,0.55904,1.24474,0.62113,0.95329,0.0018812,0.0018812,0.0018812
5,1236.89,1.34265,0.63007,0.9493,0.92491,0.90594,0.93312,0.57698,1.21338,0.61393,0.9386,0.0018416,0.0018416,0.0018416
6,1524.08,1.33222,0.6324,0.94768,0.92658,0.90222,0.93432,0.57608,1.20456,0.5968,0.93175,0.001802,0.001802,0.001802
7,1717.78,1.30803,0.61163,0.94001,0.91772,0.89478,0.92336,0.55558,1.25767,0.61154,0.95008,0.0017624,0.0017624,0.0017624
8,1856.46,1.28564,0.59917,0.9305,0.93909,0.91174,0.93818,0.60377,1.14335,0.56521,0.9176,0.0017228,0.0017228,0.0017228
9,1970.83,1.26818,0.58949,0.93061,0.93907,0.90483,0.93462,0.59393,1.13993,0.57253,0.92414,0.0016832,0.0016832,0.0016832
10,2119.23,1.25001,0.58611,0.92457,0.94026,0.9154,0.94053,0.60916,1.10241,0.54789,0.90988,0.0016436,0.0016436,0.0016436
11,2393.49,1.24002,0.57134,0.92175,0.94417,0.91318,0.94128,0.61605,1.08932,0.5412,0.91099,0.001604,0.001604,0.001604
12,2571.4,1.23379,0.568,0.92078,0.94436,0.91973,0.94317,0.62292,1.07271,0.53342,0.90235,0.0015644,0.0015644,0.0015644
13,2730.4,1.20836,0.56272,0.91575,0.93837,0.91731,0.94578,0.60435,1.13308,0.54943,0.91321,0.0015248,0.0015248,0.0015248
14,2873.57,1.23241,0.56971,0.91938,0.94092,0.91987,0.94847,0.61304,1.08659,0.53934,0.90342,0.0014852,0.0014852,0.0014852
15,2954.06,1.20986,0.5631,0.91622,0.94765,0.91586,0.94274,0.63361,1.05211,0.51594,0.89924,0.0014456,0.0014456,0.0014456
16,3097.21,1.18699,0.55088,0.91145,0.94512,0.92337,0.95109,0.63728,1.05031,0.521,0.89421,0.001406,0.001406,0.001406
17,3234.59,1.16852,0.54212,0.90623,0.94864,0.92109,0.94342,0.62761,1.0837,0.52949,0.89786,0.0013664,0.0013664,0.0013664
18,3425.51,1.18471,0.54828,0.9089,0.94943,0.92681,0.95248,0.64284,1.0266,0.50563,0.88981,0.0013268,0.0013268,0.0013268
19,3863.54,1.15829,0.53345,0.9037,0.9473,0.92355,0.95108,0.64259,1.04711,0.50548,0.89574,0.0012872,0.0012872,0.0012872
20,4008.68,1.16935,0.5407,0.90492,0.94509,0.9194,0.94917,0.62089,1.07642,0.52615,0.90357,0.0012476,0.0012476,0.0012476
21,4097.84,1.15479,0.5341,0.90372,0.9455,0.92028,0.94239,0.63157,1.05531,0.51833,0.89906,0.001208,0.001208,0.001208
22,4203.1,1.15795,0.53514,0.90312,0.94608,0.92456,0.95145,0.63519,1.06608,0.51682,0.89218,0.0011684,0.0011684,0.0011684
23,4478.5,1.15102,0.52957,0.901,0.95069,0.9184,0.94359,0.64299,1.03019,0.50383,0.89076,0.0011288,0.0011288,0.0011288
24,4655.73,1.14813,0.52591,0.89839,0.94863,0.92584,0.95231,0.65338,1.00455,0.49389,0.8867,0.0010892,0.0010892,0.0010892
25,4831.84,1.13717,0.51758,0.89659,0.95112,0.92769,0.95353,0.65477,1.00513,0.47969,0.88638,0.0010496,0.0010496,0.0010496
26,5027.85,1.14297,0.52126,0.89933,0.95118,0.92667,0.95348,0.63912,1.03095,0.49291,0.88942,0.00101,0.00101,0.00101
27,5215.35,1.1344,0.51796,0.89578,0.94962,0.92859,0.95364,0.64174,1.02722,0.49406,0.88722,0.0009704,0.0009704,0.0009704
28,5301.15,1.12431,0.51681,0.8946,0.9467,0.93332,0.95366,0.6585,0.99938,0.48619,0.88537,0.0009308,0.0009308,0.0009308
29,5409.6,1.12084,0.51624,0.89547,0.94841,0.92074,0.95146,0.63827,1.0376,0.49399,0.89089,0.0008912,0.0008912,0.0008912
30,5535.9,1.12254,0.51252,0.89228,0.94927,0.93051,0.95357,0.65515,0.99446,0.48305,0.88523,0.0008516,0.0008516,0.0008516
31,5761.71,1.10831,0.50678,0.89125,0.95006,0.93205,0.95369,0.65777,0.98529,0.47668,0.88122,0.000812,0.000812,0.000812
32,5859.34,1.11335,0.50551,0.89007,0.95352,0.92869,0.95497,0.6689,0.96472,0.47509,0.87627,0.0007724,0.0007724,0.0007724
33,5988.96,1.09767,0.49902,0.88599,0.94798,0.93076,0.95419,0.65278,1.00474,0.48205,0.88471,0.0007328,0.0007328,0.0007328
34,6344.39,1.0863,0.49566,0.88685,0.94982,0.92894,0.95378,0.64528,1.03098,0.48333,0.88449,0.0006932,0.0006932,0.0006932
35,6591.02,1.09606,0.49635,0.88466,0.95189,0.93195,0.95503,0.66203,0.97883,0.46641,0.87955,0.0006536,0.0006536,0.0006536
36,6747.04,1.08854,0.49459,0.88765,0.95304,0.93227,0.95539,0.66295,0.98134,0.47041,0.87767,0.000614,0.000614,0.000614
37,6792.16,1.07789,0.49217,0.88468,0.9539,0.93246,0.95501,0.6668,0.96048,0.46084,0.87624,0.0005744,0.0005744,0.0005744
38,7003.44,1.07249,0.48893,0.88247,0.95242,0.93177,0.95543,0.66274,0.98027,0.46426,0.8765,0.0005348,0.0005348,0.0005348
39,7124.51,1.08744,0.49053,0.88258,0.9559,0.93228,0.95591,0.66394,0.97444,0.46553,0.87659,0.0004952,0.0004952,0.0004952
40,7214.2,1.07145,0.48572,0.88312,0.9525,0.93518,0.95564,0.66425,0.97312,0.4624,0.87598,0.0004556,0.0004556,0.0004556
41,7269.96,1.0204,0.48,0.88712,0.95502,0.93488,0.95561,0.66899,0.96622,0.4539,0.87584,0.000416,0.000416,0.000416
42,7524.53,1.01707,0.47464,0.88636,0.95376,0.93458,0.95571,0.66934,0.96423,0.45993,0.87499,0.0003764,0.0003764,0.0003764
43,7559.22,1.01315,0.46985,0.88436,0.9561,0.93214,0.956,0.67559,0.95011,0.45158,0.87327,0.0003368,0.0003368,0.0003368
44,7598.12,1.00719,0.46724,0.88307,0.95443,0.93507,0.95564,0.6688,0.96341,0.45318,0.87583,0.0002972,0.0002972,0.0002972
45,7662.95,1.00033,0.46367,0.88173,0.95735,0.9312,0.9556,0.67383,0.94794,0.44828,0.87208,0.0002576,0.0002576,0.0002576
46,7698.63,0.99649,0.46054,0.88001,0.95379,0.9379,0.95581,0.67566,0.94799,0.44444,0.8725,0.000218,0.000218,0.000218
47,7741.68,0.98383,0.45473,0.87908,0.95476,0.93697,0.96202,0.67982,0.93832,0.44391,0.86988,0.0001784,0.0001784,0.0001784
48,7798.06,0.98133,0.45385,0.87612,0.95754,0.93694,0.96325,0.68512,0.92701,0.43791,0.86783,0.0001388,0.0001388,0.0001388
49,7836.59,0.97959,0.45145,0.87707,0.95552,0.93737,0.96334,0.68492,0.93173,0.43759,0.86811,9.92e-05,9.92e-05,9.92e-05
50,7879.88,0.96825,0.44729,0.8757,0.95712,0.93764,0.96442,0.68788,0.92193,0.43459,0.86639,5.96e-05,5.96e-05,5.96e-05
