epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9375,1.19927,0.41491,0.41641,0.72337,0.56452,0.57349,0.31023,0.95877,0.37066,0.20579,0.00024,0.00024,0.00024
2,19.2067,1.11961,0.36118,0.4032,0.77822,0.59447,0.6049,0.33658,0.86828,0.38565,0.18704,0.00049505,0.00049505,0.00049505
3,24.8362,1.14705,0.33772,0.39973,0.70943,0.49692,0.48834,0.27859,1.02929,0.35674,0.24849,0.000744952,0.000744952,0.000744952
4,30.9778,1.67772,0.25635,0.70001,0.67287,0.3049,0.29579,0.16637,1.49561,0.26068,0.4973,0.000989706,0.000989706,0.000989706
5,37.1775,1.98921,0.22054,1.09739,0.55391,0.3109,0.28087,0.14451,1.62293,0.27479,0.484,0.00122931,0.00122931,0.00122931
6,42.6255,1.95606,0.2335,0.97783,0.53027,0.31413,0.26094,0.14464,1.73579,0.24794,0.51043,0.00146377,0.00146377,0.00146377
7,48.6576,1.93372,0.22374,0.94957,0.45789,0.36406,0.27565,0.1549,1.67468,0.25545,0.50705,0.00169308,0.00169308,0.00169308
8,54.4061,1.95157,0.23664,1.08308,0.64194,0.36902,0.34364,0.19181,1.51206,0.26885,0.41425,0.0018614,0.0018614,0.0018614
9,59.9609,1.77667,0.25582,0.8981,0.64194,0.36902,0.34364,0.19181,1.51206,0.26885,0.41425,0.0018416,0.0018416,0.0018416
10,65.6379,1.61667,0.27174,0.60478,0.60403,0.42627,0.39215,0.22227,1.31757,0.30995,0.33655,0.0018218,0.0018218,0.0018218
11,71.4149,1.65578,0.26653,0.73164,0.61662,0.42473,0.38788,0.21579,1.28163,0.32395,0.32388,0.001802,0.001802,0.001802
12,76.7508,1.56864,0.28341,0.59631,0.56166,0.41728,0.37941,0.21194,1.3095,0.32303,0.32977,0.0017822,0.0017822,0.0017822
13,81.7521,1.50789,0.30473,0.65226,0.55066,0.44163,0.36716,0.21037,1.26416,0.3437,0.30559,0.0017624,0.0017624,0.0017624
14,87.1821,1.42925,0.32514,0.50972,0.54793,0.4447,0.37008,0.22063,1.24909,0.32752,0.30702,0.0017426,0.0017426,0.0017426
15,93.1916,1.42911,0.29771,0.46859,0.54793,0.4447,0.37008,0.22063,1.24909,0.32752,0.30702,0.0017228,0.0017228,0.0017228
16,98.821,1.45289,0.29611,0.52696,0.58284,0.43548,0.38692,0.23313,1.22408,0.3171,0.31803,0.001703,0.001703,0.001703
17,104.446,1.38306,0.29741,0.48008,0.58599,0.45469,0.3914,0.23196,1.207,0.32328,0.31941,0.0016832,0.0016832,0.0016832
18,110.131,1.4291,0.28961,0.46742,0.63258,0.47542,0.43426,0.25256,1.18337,0.32687,0.30478,0.0016634,0.0016634,0.0016634
19,115.856,1.43758,0.28565,0.48276,0.6765,0.47696,0.4556,0.26083,1.15338,0.32907,0.28032,0.0016436,0.0016436,0.0016436
20,121.702,1.29598,0.30652,0.39542,0.6765,0.47696,0.4556,0.26083,1.15338,0.32907,0.28032,0.0016238,0.0016238,0.0016238
21,127.579,1.18268,0.31917,0.34101,0.65615,0.50614,0.46261,0.26018,1.13148,0.33664,0.26781,0.001604,0.001604,0.001604
22,133.729,1.14096,0.32891,0.3612,0.67234,0.51219,0.46752,0.26771,1.12284,0.3333,0.26047,0.0015842,0.0015842,0.0015842
