epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73409,1.41287,0.72924,0.95866,0.90724,0.88047,0.9198,0.57389,1.22645,0.63512,0.94514,6e-05,6e-05,6e-05
2,7.91295,1.29578,0.73261,0.97724,0.91604,0.88493,0.92596,0.57694,1.20717,0.6233,0.94152,0.000137228,0.000137228,0.000137228
3,9.87411,1.34208,0.67525,0.92061,0.91038,0.87816,0.92509,0.56883,1.23124,0.64086,0.9419,0.000211288,0.000211288,0.000211288
4,11.8049,1.33788,0.82905,0.99139,0.90695,0.86542,0.92863,0.578,1.20634,0.63542,0.94187,0.00028218,0.00028218,0.00028218
5,13.6603,1.32834,0.7052,0.98273,0.90814,0.85918,0.92652,0.57782,1.20333,0.64225,0.94023,0.000349904,0.000349904,0.000349904
6,15.5228,1.37192,0.71107,0.93745,0.8949,0.87077,0.92683,0.57665,1.20749,0.63652,0.94109,0.00041446,0.00041446,0.00041446
7,17.3705,1.41769,0.72456,0.94838,0.86826,0.86935,0.9108,0.55937,1.25734,0.65711,0.95751,0.000475848,0.000475848,0.000475848
8,19.2144,1.29685,0.67752,0.94002,0.86564,0.88146,0.91897,0.56252,1.24649,0.64315,0.95468,0.000534068,0.000534068,0.000534068
9,21.1128,1.34146,0.6955,0.96308,0.91245,0.86389,0.91853,0.56327,1.24604,0.63168,0.94991,0.00058912,0.00058912,0.00058912
10,22.945,1.25756,0.64831,0.92113,0.91375,0.86868,0.91863,0.56282,1.24079,0.63337,0.95091,0.000641004,0.000641004,0.000641004
11,24.7937,1.31559,0.67228,0.92282,0.91698,0.87613,0.92112,0.56838,1.22849,0.63848,0.95225,0.00068972,0.00068972,0.00068972
12,26.7,1.36211,0.72105,0.94977,0.90947,0.89127,0.92533,0.57582,1.19705,0.63877,0.94763,0.000735268,0.000735268,0.000735268
13,29.0616,1.2185,0.62074,0.91074,0.88504,0.8975,0.91854,0.56022,1.22084,0.6427,0.9543,0.000777648,0.000777648,0.000777648
14,30.8882,1.20566,0.60994,0.92058,0.88118,0.89661,0.91316,0.55655,1.23498,0.64462,0.96167,0.00081686,0.00081686,0.00081686
15,35.2441,1.2178,0.61779,0.90926,0.90095,0.89305,0.91874,0.56476,1.24119,0.64823,0.96816,0.000852904,0.000852904,0.000852904
16,37.2547,1.30209,0.70805,0.95635,0.89034,0.8901,0.91781,0.55413,1.25858,0.67018,0.97041,0.00088578,0.00088578,0.00088578
17,39.1474,1.27025,0.70593,0.9902,0.89085,0.90107,0.92076,0.56127,1.24924,0.67052,0.96538,0.000915488,0.000915488,0.000915488
18,41.03,1.39179,0.80114,1.02844,0.90883,0.89732,0.92136,0.57015,1.20465,0.62456,0.95206,0.000942028,0.000942028,0.000942028
19,42.8806,1.22417,0.61381,0.89104,0.91098,0.90463,0.92394,0.57392,1.20064,0.61829,0.95068,0.0009654,0.0009654,0.0009654
20,44.7186,1.14541,0.61482,0.90863,0.90836,0.90106,0.92183,0.5795,1.20176,0.61846,0.9507,0.000985604,0.000985604,0.000985604
21,47.843,1.25235,0.62716,0.89536,0.92021,0.8984,0.92961,0.58795,1.19664,0.61512,0.94991,0.00100264,0.00100264,0.00100264
22,49.7578,1.23904,0.65867,0.94837,0.92766,0.89153,0.93152,0.58536,1.18145,0.61869,0.94531,0.00101651,0.00101651,0.00101651
23,51.6825,1.16848,0.58422,0.88524,0.91806,0.89874,0.92657,0.57888,1.18518,0.63181,0.94229,0.00102721,0.00102721,0.00102721
24,53.56,1.14899,0.65022,0.93087,0.91468,0.89394,0.92627,0.57895,1.18939,0.62823,0.93969,0.00103474,0.00103474,0.00103474
25,55.6818,1.28691,0.66237,0.92837,0.91521,0.88506,0.9253,0.57927,1.20188,0.62024,0.9412,0.0010391,0.0010391,0.0010391
26,59.1278,1.2363,0.6376,0.91943,0.91213,0.89929,0.9331,0.5851,1.20224,0.61731,0.94213,0.00101,0.00101,0.00101
27,61.0986,1.17105,0.60386,0.89309,0.91749,0.90186,0.93675,0.59065,1.18642,0.61084,0.93913,0.0009704,0.0009704,0.0009704
28,63.1303,1.26871,0.63808,0.91188,0.92539,0.89929,0.93774,0.59032,1.18159,0.6133,0.93752,0.0009308,0.0009308,0.0009308
29,67.3079,1.25021,0.62846,0.93286,0.92185,0.90408,0.93963,0.59694,1.17379,0.60398,0.93316,0.0008912,0.0008912,0.0008912
30,69.4267,1.19243,0.67847,0.93403,0.92643,0.89216,0.94271,0.59992,1.17013,0.58911,0.9328,0.0008516,0.0008516,0.0008516
31,71.428,1.12364,0.5928,0.92444,0.92554,0.90196,0.94524,0.59899,1.16443,0.58237,0.93123,0.000812,0.000812,0.000812
32,74.8093,1.30004,0.72687,0.93645,0.91798,0.9077,0.94351,0.58821,1.17953,0.58638,0.93527,0.0007724,0.0007724,0.0007724
33,76.7451,1.21984,0.64555,0.94785,0.91034,0.89591,0.93756,0.58691,1.17539,0.59296,0.93418,0.0007328,0.0007328,0.0007328
34,81.1258,1.26608,0.64151,0.91748,0.91137,0.89817,0.93755,0.59585,1.16339,0.58907,0.92968,0.0006932,0.0006932,0.0006932
35,83.9648,1.20833,0.60385,0.88164,0.92768,0.89171,0.94116,0.60159,1.15423,0.58257,0.92725,0.0006536,0.0006536,0.0006536
36,85.9518,1.1696,0.6031,0.90466,0.93515,0.88859,0.94558,0.60288,1.15411,0.57661,0.9285,0.000614,0.000614,0.000614
37,88.0454,1.21615,0.61926,0.90963,0.93708,0.88937,0.94734,0.60655,1.15499,0.57486,0.92976,0.0005744,0.0005744,0.0005744
38,90.0429,1.16215,0.58606,0.88955,0.9254,0.89929,0.93845,0.60497,1.16214,0.57399,0.93291,0.0005348,0.0005348,0.0005348
39,91.8769,1.1902,0.5788,0.88107,0.91799,0.90642,0.94265,0.6035,1.16341,0.57696,0.93417,0.0004952,0.0004952,0.0004952
40,93.7299,1.25388,0.60867,0.89149,0.92271,0.90463,0.94303,0.6023,1.16941,0.57874,0.93762,0.0004556,0.0004556,0.0004556
41,113.631,1.21903,0.62009,0.91451,0.92415,0.90374,0.94056,0.59862,1.18042,0.58307,0.94288,0.000416,0.000416,0.000416
42,115.441,1.38079,0.80775,0.93744,0.93177,0.8984,0.93528,0.59229,1.18531,0.58411,0.94518,0.0003764,0.0003764,0.0003764
43,117.24,1.0954,0.5679,0.90529,0.92323,0.90018,0.93416,0.59425,1.17972,0.58287,0.94148,0.0003368,0.0003368,0.0003368
44,119.048,1.10251,0.56972,0.88832,0.92408,0.89483,0.93259,0.59566,1.17167,0.57846,0.93872,0.0002972,0.0002972,0.0002972
45,120.88,1.08734,0.57751,0.90805,0.93108,0.89105,0.93311,0.59886,1.16949,0.5779,0.93811,0.0002576,0.0002576,0.0002576
46,122.673,1.10442,0.56218,0.90979,0.92581,0.88981,0.93112,0.59912,1.16308,0.57932,0.938,0.000218,0.000218,0.000218
47,124.469,1.1904,0.56881,0.87416,0.92684,0.89204,0.9335,0.59982,1.16026,0.58038,0.93752,0.0001784,0.0001784,0.0001784
48,126.267,1.09712,0.54524,0.88648,0.92795,0.89216,0.93365,0.59874,1.16081,0.58146,0.93751,0.0001388,0.0001388,0.0001388
49,128.055,1.11855,0.57833,0.90635,0.92484,0.89127,0.93348,0.59833,1.16073,0.57981,0.9371,9.92e-05,9.92e-05,9.92e-05
