epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2535,1.43573,0.40577,0.53511,0.75055,0.63067,0.66303,0.29892,0.79581,0.42806,0.20291,0.00024,0.00024,0.00024
2,21.6357,1.24399,0.36481,0.4327,0.66481,0.68523,0.61827,0.3316,0.73303,0.4631,0.18618,0.00049505,0.00049505,0.00049505
3,27.3184,1.47038,0.29752,0.58808,0.70118,0.5435,0.50609,0.28409,1.05212,0.37616,0.33096,0.000744952,0.000744952,0.000744952
4,33.4543,1.65648,0.25428,0.74548,0.65965,0.38698,0.37903,0.20074,1.34296,0.31308,0.48157,0.000989706,0.000989706,0.000989706
5,39.8263,2.19075,0.17838,1.22194,0.55596,0.32643,0.30674,0.1592,1.4532,0.32994,0.50537,0.00122931,0.00122931,0.00122931
6,45.7924,2.24075,0.18894,1.18841,0.53905,0.33471,0.28539,0.14379,1.50057,0.31256,0.52542,0.00146377,0.00146377,0.00146377
7,54.8713,2.25422,0.18054,1.14145,0.50877,0.43579,0.33112,0.1779,1.3949,0.35696,0.4221,0.00169308,0.00169308,0.00169308
8,60.7505,2.16876,0.20686,1.24528,0.57209,0.46976,0.37262,0.2072,1.33126,0.3407,0.39019,0.0018614,0.0018614,0.0018614
9,66.329,2.00572,0.22522,1.02278,0.57209,0.46976,0.37262,0.2072,1.33126,0.3407,0.39019,0.0018416,0.0018416,0.0018416
10,71.9071,1.7648,0.25365,0.81356,0.60711,0.52235,0.43956,0.24852,1.17295,0.36329,0.32735,0.0018218,0.0018218,0.0018218
11,77.2531,1.49052,0.31417,0.50184,0.59518,0.52941,0.43031,0.24316,1.15585,0.37642,0.32686,0.001802,0.001802,0.001802
12,82.5272,1.60274,0.28231,0.66394,0.60346,0.5377,0.4479,0.25751,1.12047,0.37054,0.32038,0.0017822,0.0017822,0.0017822
13,87.4076,1.41944,0.31686,0.51122,0.61451,0.55758,0.46158,0.2716,1.08813,0.35933,0.31174,0.0017624,0.0017624,0.0017624
14,92.3385,1.27302,0.33276,0.3881,0.63034,0.55758,0.47561,0.28346,1.06008,0.35091,0.29468,0.0017426,0.0017426,0.0017426
15,97.8235,1.4654,0.27119,0.49265,0.63034,0.55758,0.47561,0.28346,1.06008,0.35091,0.29468,0.0017228,0.0017228,0.0017228
16,103.018,1.41163,0.28604,0.4707,0.66958,0.58658,0.5126,0.30088,1.08437,0.34138,0.2934,0.001703,0.001703,0.001703
17,108.448,1.36331,0.29309,0.44613,0.66084,0.58989,0.51924,0.31142,1.05031,0.35077,0.26055,0.0016832,0.0016832,0.0016832
18,113.772,1.31569,0.31251,0.36803,0.69679,0.59973,0.54449,0.32797,1.04061,0.34038,0.2635,0.0016634,0.0016634,0.0016634
19,119.314,1.36083,0.29197,0.45619,0.7091,0.59983,0.56808,0.33806,1.01531,0.33643,0.26072,0.0016436,0.0016436,0.0016436
20,125.113,1.21911,0.31194,0.33556,0.7091,0.59983,0.56808,0.33806,1.01531,0.33643,0.26072,0.0016238,0.0016238,0.0016238
21,130.885,1.37822,0.28714,0.45805,0.75083,0.59155,0.58831,0.3529,0.99811,0.34892,0.25539,0.001604,0.001604,0.001604
22,136.299,1.14113,0.34036,0.32504,0.73181,0.6222,0.61111,0.36329,0.95284,0.36665,0.23332,0.0015842,0.0015842,0.0015842
23,142.253,1.21316,0.31532,0.36001,0.72613,0.64292,0.60922,0.36496,0.95093,0.35877,0.24527,0.0015644,0.0015644,0.0015644
24,148.168,1.07973,0.33375,0.29162,0.72979,0.64043,0.61755,0.37056,0.93953,0.36227,0.24589,0.0015446,0.0015446,0.0015446
25,154.124,1.16422,0.33701,0.33449,0.72979,0.64043,0.61755,0.37056,0.93953,0.36227,0.24589,0.0015248,0.0015248,0.0015248
26,159.939,1.07733,0.33511,0.28467,0.74935,0.65286,0.64611,0.39029,0.91647,0.36267,0.23799,0.001505,0.001505,0.001505
27,169.556,1.17419,0.32364,0.29533,0.77555,0.65557,0.64875,0.39604,0.8971,0.3583,0.22433,0.0014852,0.0014852,0.0014852
28,175.266,1.03231,0.34806,0.29935,0.76006,0.67191,0.65752,0.40538,0.87543,0.3658,0.22248,0.0014654,0.0014654,0.0014654
29,181.219,1.11097,0.3252,0.30458,0.77447,0.68103,0.66447,0.41357,0.85708,0.35772,0.20949,0.0014456,0.0014456,0.0014456
30,186.6,1.07436,0.32153,0.27246,0.78876,0.6686,0.67046,0.41407,0.8405,0.36039,0.1969,0.0014258,0.0014258,0.0014258
31,192.461,1.07597,0.33455,0.33009,0.78876,0.6686,0.67046,0.41407,0.8405,0.36039,0.1969,0.001406,0.001406,0.001406
32,198.162,1.07736,0.33078,0.32879,0.7728,0.6686,0.67487,0.41183,0.84852,0.35945,0.20289,0.0013862,0.0013862,0.0013862
33,203.641,1.16018,0.31135,0.29198,0.79673,0.64872,0.67118,0.41441,0.84851,0.36149,0.20219,0.0013664,0.0013664,0.0013664
34,209.702,1.07165,0.32119,0.28548,0.79775,0.66197,0.68227,0.41977,0.82725,0.36757,0.19608,0.0013466,0.0013466,0.0013466
35,215.676,1.14567,0.3193,0.35763,0.81737,0.6563,0.68441,0.42074,0.83016,0.36004,0.19176,0.0013268,0.0013268,0.0013268
36,221.08,1.04643,0.32477,0.27379,0.81737,0.6563,0.68441,0.42074,0.83016,0.36004,0.19176,0.001307,0.001307,0.001307
37,226.549,1.12363,0.31951,0.29296,0.79791,0.67715,0.68621,0.42383,0.8299,0.35671,0.19594,0.0012872,0.0012872,0.0012872
38,232.345,1.10488,0.32371,0.27426,0.81936,0.67688,0.69676,0.42853,0.8123,0.37019,0.1998,0.0012674,0.0012674,0.0012674
39,238.245,1.05794,0.336,0.32222,0.81876,0.68495,0.69707,0.42887,0.81082,0.36885,0.19052,0.0012476,0.0012476,0.0012476
40,244.576,1.13367,0.32005,0.31296,0.81822,0.68766,0.70697,0.43967,0.7931,0.36425,0.18543,0.0012278,0.0012278,0.0012278
41,250.488,0.97659,0.34004,0.23489,0.81822,0.68766,0.70697,0.43967,0.7931,0.36425,0.18543,0.001208,0.001208,0.001208
42,256.375,1.00265,0.33305,0.24722,0.82448,0.71219,0.72423,0.4481,0.77481,0.35906,0.18152,0.0011882,0.0011882,0.0011882
43,262.178,1.00677,0.32645,0.26855,0.81799,0.70008,0.72902,0.44491,0.76803,0.36608,0.17648,0.0011684,0.0011684,0.0011684
44,267.571,0.92676,0.34903,0.2201,0.84239,0.71168,0.7383,0.45292,0.74017,0.36726,0.16958,0.0011486,0.0011486,0.0011486
45,272.86,0.89728,0.35142,0.21705,0.82597,0.72162,0.73715,0.45635,0.73656,0.36476,0.16615,0.0011288,0.0011288,0.0011288
46,278.646,0.95157,0.34725,0.22503,0.84021,0.71914,0.74259,0.45877,0.72763,0.36443,0.1654,0.001109,0.001109,0.001109
47,284.486,0.92854,0.34488,0.23082,0.84021,0.71914,0.74259,0.45877,0.72763,0.36443,0.1654,0.0010892,0.0010892,0.0010892
48,290.509,0.87927,0.35258,0.22118,0.83638,0.72419,0.74371,0.45653,0.72587,0.3674,0.16336,0.0010694,0.0010694,0.0010694
49,296.102,0.99914,0.33389,0.23766,0.84067,0.72328,0.7459,0.46377,0.72896,0.36551,0.16462,0.0010496,0.0010496,0.0010496
50,301.777,1.00939,0.32099,0.31,0.83605,0.73157,0.74714,0.46765,0.70944,0.36702,0.16075,0.0010298,0.0010298,0.0010298
51,307.313,0.92523,0.35339,0.2237,0.83509,0.73985,0.74113,0.46225,0.7143,0.36647,0.16317,0.00101,0.00101,0.00101
52,312.15,0.88232,0.35907,0.21963,0.83509,0.73985,0.74113,0.46225,0.7143,0.36647,0.16317,0.0009902,0.0009902,0.0009902
53,317.339,0.92802,0.34641,0.22054,0.84829,0.73985,0.75437,0.47353,0.69701,0.36182,0.15561,0.0009704,0.0009704,0.0009704
54,322.85,0.98822,0.34012,0.26105,0.84473,0.73322,0.75499,0.4688,0.70424,0.36795,0.15735,0.0009506,0.0009506,0.0009506
55,328.395,1.00832,0.33421,0.25962,0.84382,0.73411,0.7551,0.46632,0.69961,0.37111,0.15885,0.0009308,0.0009308,0.0009308
56,334.187,0.90192,0.33659,0.21856,0.83258,0.74575,0.75397,0.46959,0.68598,0.3668,0.15659,0.000911,0.000911,0.000911
57,339.875,0.91219,0.34768,0.2128,0.83258,0.74575,0.75397,0.46959,0.68598,0.3668,0.15659,0.0008912,0.0008912,0.0008912
58,344.892,0.83305,0.38602,0.21328,0.8295,0.74565,0.75007,0.46547,0.68808,0.36845,0.16366,0.0008714,0.0008714,0.0008714
59,351.12,0.89372,0.34524,0.21404,0.83301,0.74814,0.74915,0.46523,0.70369,0.36643,0.16595,0.0008516,0.0008516,0.0008516
60,356.69,0.98782,0.3286,0.25362,0.80438,0.74948,0.73474,0.46093,0.69742,0.37512,0.16943,0.0008318,0.0008318,0.0008318
61,361.737,0.78661,0.36908,0.16637,0.78532,0.74896,0.7188,0.4494,0.69323,0.38645,0.16683,0.000812,0.000812,0.000812
62,366.99,0.9281,0.35652,0.24279,0.83169,0.74151,0.75432,0.47239,0.6871,0.37307,0.16706,0.0007922,0.0007922,0.0007922
63,374.786,0.81265,0.35896,0.16945,0.83169,0.74151,0.75432,0.47239,0.6871,0.37307,0.16706,0.0007724,0.0007724,0.0007724
64,380.077,0.84558,0.36698,0.20107,0.85286,0.73471,0.76381,0.47525,0.67462,0.37358,0.16474,0.0007526,0.0007526,0.0007526
65,385.386,0.80045,0.35337,0.16219,0.84811,0.75228,0.76393,0.47728,0.67312,0.37331,0.16447,0.0007328,0.0007328,0.0007328
66,390.794,0.82239,0.35915,0.20082,0.83692,0.75476,0.76739,0.48039,0.65786,0.37991,0.15383,0.000713,0.000713,0.000713
67,396.345,0.91093,0.35101,0.18261,0.83533,0.76072,0.76427,0.47743,0.66032,0.38082,0.15288,0.0006932,0.0006932,0.0006932
68,401.849,0.81121,0.35204,0.1898,0.83533,0.76072,0.76427,0.47743,0.66032,0.38082,0.15288,0.0006734,0.0006734,0.0006734
69,407.177,0.72125,0.36394,0.15466,0.83946,0.76636,0.77302,0.48335,0.65921,0.37619,0.15269,0.0006536,0.0006536,0.0006536
70,413.064,0.9182,0.33783,0.23305,0.85011,0.77061,0.78549,0.48857,0.65626,0.37768,0.15009,0.0006338,0.0006338,0.0006338
71,418.432,0.82426,0.36057,0.15792,0.86203,0.77131,0.78933,0.49231,0.63911,0.37888,0.14514,0.000614,0.000614,0.000614
72,430.12,0.87442,0.34963,0.22579,0.86665,0.77299,0.78999,0.49616,0.6476,0.37213,0.14779,0.0005942,0.0005942,0.0005942
73,436.262,0.82992,0.34617,0.18314,0.86665,0.77299,0.78999,0.49616,0.6476,0.37213,0.14779,0.0005744,0.0005744,0.0005744
74,442.065,0.83269,0.36207,0.19053,0.86223,0.77796,0.79087,0.49737,0.64014,0.37497,0.14767,0.0005546,0.0005546,0.0005546
75,447.627,0.79954,0.36083,0.18142,0.86163,0.78542,0.79193,0.49686,0.64348,0.37508,0.14499,0.0005348,0.0005348,0.0005348
76,452.958,0.7528,0.37093,0.17302,0.8562,0.78435,0.79312,0.4975,0.64452,0.37408,0.14518,0.000515,0.000515,0.000515
77,458.787,0.73349,0.36945,0.15284,0.85926,0.7937,0.7975,0.50173,0.63475,0.37605,0.14082,0.0004952,0.0004952,0.0004952
78,464.34,0.83609,0.35378,0.2144,0.85852,0.78928,0.79614,0.49898,0.63348,0.37288,0.14277,0.0004754,0.0004754,0.0004754
79,469.645,0.76406,0.36577,0.15981,0.85852,0.78928,0.79614,0.49898,0.63348,0.37288,0.14277,0.0004556,0.0004556,0.0004556
80,475.292,0.74225,0.36092,0.17456,0.85178,0.78956,0.79462,0.49823,0.62713,0.37691,0.1442,0.0004358,0.0004358,0.0004358
81,481.043,0.78108,0.35985,0.19574,0.84171,0.79122,0.7982,0.50216,0.61793,0.37882,0.137,0.000416,0.000416,0.000416
82,486.664,0.77503,0.36158,0.19158,0.85249,0.78956,0.80104,0.50123,0.61498,0.37737,0.13485,0.0003962,0.0003962,0.0003962
83,492.727,0.80733,0.35688,0.18979,0.84436,0.79453,0.80297,0.50268,0.61303,0.37776,0.13142,0.0003764,0.0003764,0.0003764
