epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,498.954,0.79759,0.35509,0.18733,0.84436,0.79453,0.80297,0.50268,0.61303,0.37776,0.13142,0.0003566,0.0003566,0.0003566
85,504.782,0.8832,0.33335,0.19097,0.85564,0.79555,0.80798,0.50349,0.60811,0.37929,0.13078,0.0003368,0.0003368,0.0003368
86,510.649,0.83882,0.34527,0.20593,0.85068,0.79769,0.80804,0.50238,0.61326,0.3774,0.13578,0.000317,0.000317,0.000317
87,516.106,0.82908,0.35885,0.19817,0.85202,0.80142,0.8074,0.5007,0.61753,0.37821,0.13718,0.0002972,0.0002972,0.0002972
88,521.536,0.90581,0.34268,0.22936,0.84879,0.79989,0.80501,0.50169,0.61031,0.37986,0.13381,0.0002774,0.0002774,0.0002774
89,528.926,0.77968,0.35059,0.16582,0.84879,0.79989,0.80501,0.50169,0.61031,0.37986,0.13381,0.0002576,0.0002576,0.0002576
90,536.711,0.82,0.33387,0.19411,0.84439,0.79536,0.80223,0.49749,0.61383,0.38212,0.13433,0.0002378,0.0002378,0.0002378
91,542.084,0.74603,0.36649,0.16132,0.84794,0.79619,0.80692,0.50027,0.61838,0.38303,0.13224,0.000218,0.000218,0.000218
92,547.074,0.72561,0.36715,0.16107,0.84846,0.78625,0.79888,0.49684,0.61434,0.38567,0.13646,0.0001982,0.0001982,0.0001982
93,557.571,0.78091,0.35478,0.16717,0.8522,0.79867,0.80746,0.50067,0.6119,0.3834,0.134,0.0001784,0.0001784,0.0001784
94,562.98,0.86033,0.36087,0.18791,0.85792,0.79205,0.80718,0.50111,0.60769,0.38315,0.13509,0.0001586,0.0001586,0.0001586
95,568.3,0.77864,0.34496,0.18212,0.85792,0.79205,0.80718,0.50111,0.60769,0.38315,0.13509,0.0001388,0.0001388,0.0001388
96,601.845,0.64879,0.38533,0.13176,0.85458,0.79361,0.80829,0.50309,0.6117,0.38006,0.13533,0.000119,0.000119,0.000119
97,606.894,0.67624,0.38002,0.1389,0.85538,0.78956,0.80066,0.4971,0.61547,0.37841,0.13827,9.92e-05,9.92e-05,9.92e-05
98,611.673,0.68384,0.37748,0.13455,0.85925,0.79122,0.80502,0.49719,0.61374,0.3773,0.13741,7.94e-05,7.94e-05,7.94e-05
99,616.515,0.68443,0.38851,0.15393,0.86458,0.79343,0.80433,0.49992,0.6173,0.37512,0.13761,5.96e-05,5.96e-05,5.96e-05
100,621.635,0.66908,0.38637,0.13643,0.86458,0.79343,0.80433,0.49992,0.6173,0.37512,0.13761,3.98e-05,3.98e-05,3.98e-05
