epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6606,1.47753,0.77384,0.96832,0.91799,0.91371,0.91919,0.60036,1.06923,0.58333,0.89299,6e-05,6e-05,6e-05
2,20.2968,1.44518,1.98039,1.02137,0.92527,0.91102,0.91212,0.6039,1.0566,0.57685,0.88992,0.000137228,0.000137228,0.000137228
3,22.2721,1.42315,0.76776,0.99695,0.91784,0.91424,0.92114,0.60651,1.05815,0.57995,0.88841,0.000211288,0.000211288,0.000211288
4,26.1785,1.36494,0.67067,0.93704,0.91483,0.90414,0.90856,0.60433,1.05053,0.59168,0.89182,0.00028218,0.00028218,0.00028218
5,28.0958,1.30414,0.69138,0.9631,0.91327,0.90307,0.909,0.60961,1.05308,0.58012,0.89108,0.000349904,0.000349904,0.000349904
6,30.0673,1.35001,0.66812,0.93745,0.92282,0.88407,0.89941,0.59432,1.09761,0.59954,0.89664,0.00041446,0.00041446,0.00041446
7,31.9267,1.2667,0.62176,0.92204,0.91684,0.89942,0.90776,0.59444,1.1054,0.58114,0.8969,0.000475848,0.000475848,0.000475848
8,35.0791,1.25527,0.62532,0.91234,0.92472,0.91044,0.91022,0.60851,1.05965,0.55899,0.89216,0.000534068,0.000534068,0.000534068
9,36.9563,1.20221,0.60917,0.91915,0.92421,0.9063,0.91024,0.60318,1.07325,0.56323,0.89643,0.00058912,0.00058912,0.00058912
10,38.8317,1.25585,0.65383,0.94029,0.93769,0.8922,0.91178,0.60472,1.07175,0.56553,0.89734,0.000641004,0.000641004,0.000641004
11,40.7361,1.28449,0.67957,0.95932,0.92904,0.89624,0.90846,0.59163,1.0829,0.57486,0.89936,0.00068972,0.00068972,0.00068972
12,42.6799,1.26406,0.63668,0.94317,0.92215,0.87401,0.89207,0.55369,1.15935,0.62709,0.92389,0.000735268,0.000735268,0.000735268
13,44.6056,1.33882,0.64861,0.93184,0.91436,0.86924,0.89067,0.54606,1.19759,0.63515,0.93517,0.000777648,0.000777648,0.000777648
14,46.4819,1.23275,0.62775,0.92719,0.92446,0.87877,0.9044,0.57677,1.131,0.60035,0.91797,0.00081686,0.00081686,0.00081686
15,48.3731,1.3303,0.6967,0.96791,0.92176,0.90429,0.91169,0.59953,1.08666,0.56811,0.90066,0.000852904,0.000852904,0.000852904
16,50.2803,1.23581,0.62268,0.91569,0.927,0.90418,0.91093,0.60531,1.07297,0.57546,0.89815,0.00088578,0.00088578,0.00088578
17,52.1346,1.27476,0.65607,0.94007,0.92741,0.91212,0.91169,0.60832,1.07175,0.58597,0.89743,0.000915488,0.000915488,0.000915488
18,54.0506,1.26159,0.62426,0.91212,0.93153,0.90754,0.90886,0.60921,1.06355,0.56696,0.89381,0.000942028,0.000942028,0.000942028
19,55.9048,1.30271,0.686,0.96382,0.9266,0.91265,0.90912,0.60512,1.07202,0.55828,0.89552,0.0009654,0.0009654,0.0009654
20,57.7962,1.20239,0.61424,0.93462,0.9227,0.91619,0.91382,0.60538,1.07296,0.55893,0.89585,0.000985604,0.000985604,0.000985604
21,60.8272,1.27392,0.65883,0.93876,0.92974,0.89995,0.90694,0.6102,1.0485,0.56699,0.89349,0.00100264,0.00100264,0.00100264
22,62.9224,1.28989,0.66988,0.93368,0.92627,0.90842,0.91649,0.60743,1.06159,0.56408,0.89224,0.00101651,0.00101651,0.00101651
23,64.9262,1.3048,0.63568,0.89906,0.92082,0.9112,0.91783,0.60651,1.04739,0.55892,0.88898,0.00102721,0.00102721,0.00102721
24,66.8841,1.2811,0.6534,0.9349,0.92521,0.91159,0.91976,0.60313,1.05177,0.56006,0.88764,0.00103474,0.00103474,0.00103474
25,68.7521,1.2955,0.64603,0.91323,0.92701,0.90769,0.91947,0.60031,1.06987,0.56839,0.88903,0.0010391,0.0010391,0.0010391
26,70.6975,1.31283,0.66838,0.92875,0.92674,0.9153,0.91973,0.60746,1.06488,0.56788,0.88837,0.00101,0.00101,0.00101
27,72.6511,1.1847,0.60556,0.88873,0.93176,0.89624,0.91032,0.60578,1.06655,0.57594,0.8904,0.0009704,0.0009704,0.0009704
28,74.5383,1.28218,0.64939,0.92021,0.91461,0.88671,0.90455,0.59532,1.09447,0.59063,0.90202,0.0009308,0.0009308,0.0009308
29,76.4579,1.17943,0.58623,0.89283,0.91531,0.88142,0.90473,0.59647,1.08324,0.58577,0.90162,0.0008912,0.0008912,0.0008912
30,78.3009,1.20127,0.59431,0.89514,0.92469,0.89783,0.90875,0.60365,1.06114,0.5681,0.89422,0.0008516,0.0008516,0.0008516
31,80.1355,1.22944,0.63092,0.94187,0.93107,0.90104,0.91111,0.60498,1.05495,0.56254,0.88783,0.000812,0.000812,0.000812
